"";"codmun";"nome";"uf";"string";"lat";"lon"
"236";1505403;"Ourém";"Pará";"Ourém, Pará, Brasil";-1,4954704;-47,1240522823563
"237";1505437;"Ourilândia do Norte";"Pará";"Ourilândia do Norte, Pará, Brasil";-7,45473675;-51,5136742655023
"238";1505486;"Pacajá";"Pará";"Pacajá, Pará, Brasil";-3,8354194;-50,6399247
"239";1505494;"Palestina do Pará";"Pará";"Palestina do Pará, Pará, Brasil";-5,905372;-48,355709321453
"240";1505502;"Paragominas";"Pará";"Paragominas, Pará, Brasil";-2,9956399;-47,3548941
"241";1505536;"Parauapebas";"Pará";"Parauapebas, Pará, Brasil";-6,0696845;-49,8903282
"242";1505551;"Pau D'Arco";"Pará";"Pau D'Arco, Pará, Brasil";-7,72512475;-50,1352400572855
"243";1505601;"Peixe-Boi";"Pará";"Peixe-Boi, Pará, Brasil";-1,1938239;-47,3240309
"244";1505635;"Piçarra";"Pará";"Piçarra, Pará, Brasil";-6,4479986;-48,8672008
"245";1505650;"Placas";"Pará";"Placas, Pará, Brasil";-3,8689528;-54,2154345
"246";1505700;"Ponta de Pedras";"Pará";"Ponta de Pedras, Pará, Brasil";-1,1100375;-49,0640438224695
"247";1505809;"Portel";"Pará";"Portel, Pará, Brasil";-2,62099535;-50,9974717784495
"248";1505908;"Porto de Moz";"Pará";"Porto de Moz, Pará, Brasil";-2,1659042;-52,868691489113
"249";1506005;"Prainha";"Pará";"Prainha, Pará, Brasil";-1,7979989;-53,4779029
"250";1506104;"Primavera";"Pará";"Primavera, Pará, Brasil";-0,9354172;-47,1535922910386
"251";1506112;"Quatipuru";"Pará";"Quatipuru, Pará, Brasil";-0,8948724;-47,0049316
"252";1506138;"Redenção";"Pará";"Redenção, Pará, Brasil";-8,0252939;-50,0316869
"253";1506161;"Rio Maria";"Pará";"Rio Maria, Pará, Brasil";-7,3703441;-50,1033535331277
"254";1506187;"Rondon do Pará";"Pará";"Rondon do Pará, Pará, Brasil";-4,4547431;-48,4750143320979
"255";1506195;"Rurópolis";"Pará";"Rurópolis, Pará, Brasil";-4,101431;-54,9086852
"256";1506203;"Salinópolis";"Pará";"Salinópolis, Pará, Brasil";-0,6259281;-47,3442818
"257";1506302;"Salvaterra";"Pará";"Salvaterra, Pará, Brasil";-0,7584439;-48,5139209
"258";1506351;"Santa Bárbara do Pará";"Pará";"Santa Bárbara do Pará, Pará, Brasil";-1,192048;-48,237997453745
"259";1506401;"Santa Cruz do Arari";"Pará";"Santa Cruz do Arari, Pará, Brasil";-0,55908675;-49,3239908340194
"260";1506500;"Santa Izabel do Pará";"Pará";"Santa Izabel do Pará, Pará, Brasil";NA;NA
"261";1506559;"Santa Luzia do Pará";"Pará";"Santa Luzia do Pará, Pará, Brasil";-1,72751705;-46,8979015899991
"262";1506583;"Santa Maria das Barreiras";"Pará";"Santa Maria das Barreiras, Pará, Brasil";-8,6941421;-50,0168040822045
"263";1506609;"Santa Maria do Pará";"Pará";"Santa Maria do Pará, Pará, Brasil";-1,365978;-47,5307858551402
"264";1506708;"Santana do Araguaia";"Pará";"Santana do Araguaia, Pará, Brasil";-9,2769713;-50,5450408683524
"265";1506807;"Santarém";"Pará";"Santarém, Pará, Brasil";-2,4384889;-54,6996109
"266";1506906;"Santarém Novo";"Pará";"Santarém Novo, Pará, Brasil";-0,9012174;-47,3461624301709
"267";1507003;"Santo Antônio do Tauá";"Pará";"Santo Antônio do Tauá, Pará, Brasil";-1,10769345;-48,0963175718358
"268";1507102;"São Caetano de Odivelas";"Pará";"São Caetano de Odivelas, Pará, Brasil";-0,7282783;-48,0823540358597
"269";1507151;"São Domingos do Araguaia";"Pará";"São Domingos do Araguaia, Pará, Brasil";-5,6816659;-48,7313513039409
"270";1507201;"São Domingos do Capim";"Pará";"São Domingos do Capim, Pará, Brasil";-1,92897265;-47,7604612058709
"271";1507300;"São Félix do Xingu";"Pará";"São Félix do Xingu, Pará, Brasil";-7,80088205;-52,5632535206649
"272";1507409;"São Francisco do Pará";"Pará";"São Francisco do Pará, Pará, Brasil";-1,20683345;-47,7488311106148
"273";1507458;"São Geraldo do Araguaia";"Pará";"São Geraldo do Araguaia, Pará, Brasil";-6,1653606;-48,7522662305256
"274";1507466;"São João da Ponta";"Pará";"São João da Ponta, Pará, Brasil";-0,8691695;-47,9618559965343
"275";1507474;"São João de Pirabas";"Pará";"São João de Pirabas, Pará, Brasil";-0,77322435;-47,2666828907584
"276";1507508;"São João do Araguaia";"Pará";"São João do Araguaia, Pará, Brasil";-5,4193163;-48,8839490053129
"277";1507607;"São Miguel do Guamá";"Pará";"São Miguel do Guamá, Pará, Brasil";-1,552131;-47,447217001719
"278";1507706;"São Sebastião da Boa Vista";"Pará";"São Sebastião da Boa Vista, Pará, Brasil";-1,4308525;-49,6045080399201
"279";1507755;"Sapucaia";"Pará";"Sapucaia, Pará, Brasil";-6,83384945;-49,5695879388882
